,director_name,actor_1_name,actor_2_name,actor_3_name,genre,movie_title,comb
0,Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Mystery Thriller,insidious: the last key,Lin Shaye Angus Sampson Leigh Whannell Adam Robitel Horror Mystery Thriller
1,Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Thriller Drama,the strange ones,Alex Pettyfer James Freedson-Jackson Emily Althaus Lauren Wolkstein Thriller Drama
2,Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Action Thriller,stratton,Dominic Cooper Austin Stowell Gemma Chan Simon West Action Thriller
3,Warwick Thornton,Bryan Brown,Sam Neill,unknown,Drama History Western,sweet country,Bryan Brown Sam Neill unknown Warwick Thornton Drama History Western
4,Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller Mystery,the commuter,Liam Neeson Vera Farmiga Patrick Wilson Jaume Collet-Serra Action Thriller Mystery
5,Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Thriller Action Crime,proud mary,Taraji P. Henson Billy Brown Danny Glover Babak Najafi Thriller Action Crime
6,Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action,acts of violence,Bruce Willis Cole Hauser Shawn Ashmore Brett Donowho Action
7,Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Comedy Drama,freak show,Alex Lawther Abigail Breslin Bette Midler Trudie Styler Comedy Drama
8,Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,Jemaine Clement Elliott Gould Ingrid Michaelson Sam Hoffman Comedy
9,Daniela Thomas,Adriano Carvalho,Luana Nastas,unknown,Drama,vazante,Adriano Carvalho Luana Nastas unknown Daniela Thomas Drama
10,Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Fantasy Adventure Animation,mary and the witch's flower,Ruby Barnhill Louis Ashbourne Serkis Kate Winslet Hiromasa Yonebayashi Fantasy Adventure Animation
11,Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,War Drama Action History,12 strong,Chris Hemsworth Michael Shannon Michael Peña Nicolai Fuglsig War Drama Action History
12,Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Action Thriller Crime,den of thieves,Gerard Butler 50 Cent Pablo Schreiber Christian Gudegast Action Thriller Crime
13,Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama Music,forever my girl,Alex Roe Jessica Rothe John Benjamin Hickey Bethany Ashton Wolf Romance Drama Music
14,Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction Action Adventure Thriller,maze runner: the death cure,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Wes Ball Science Fiction Action Adventure Thriller
15,Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Comedy Crime,the insult,Adel Karam Camille Salameh Kamel El Basha Ziad Doueiri Comedy Crime
16,Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,Dakota Fanning Toni Collette Alice Eve Ben Lewin Comedy Drama
17,The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Horror Thriller,winchester,Helen Mirren Jason Clarke Sarah Snook The Spierig Brothers Horror Thriller
18,Sebastián Lelio,Daniela Vega,Francisco Reyes,unknown,Drama,a fantastic woman,Daniela Vega Francisco Reyes unknown Sebastián Lelio Drama
19,Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Action Horror Thriller,armed,Mario Van Peebles William Fichtner Ryan Guzman Mario Van Peebles Action Horror Thriller
20,Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Horror Science Fiction Action Thriller,the cloverfield paradox,Daniel Brühl Elizabeth Debicki Aksel Hennie Julius Onah Horror Science Fiction Action Thriller
21,Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Horror,bad apples,Brea Grant Graham Skipper Aly Fitzgerald Bryan Coyne Horror
22,Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Family Comedy Adventure Animation Fantasy,peter rabbit,James Corden Domhnall Gleeson Rose Byrne Will Gluck Family Comedy Adventure Animation Fantasy
23,James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Drama Romance,fifty shades freed,Dakota Johnson Jamie Dornan Kim Basinger James Foley Drama Romance
24,Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Thriller History Drama,the 15:17 to paris,Anthony Sadler Alek Skarlatos Spencer Stone Clint Eastwood Thriller History Drama
25,Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marimar Vega,Ryan Carnes,Comedy,la boda de valentina,Marco Polo Constandse (director); Omar Chaparro Marimar Vega Ryan Carnes Marco Polo Constandse Comedy
26,Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi,,kri,
27,Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Comedy Romance Drama,permission,Rebecca Hall Dan Stevens Morgan Spector Brian Crano Comedy Romance Drama
